rs                       \eta                     K                        f_r                      f_p                      AUC                      AUPR                                                                                                                                               
8.000000000000000444e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.545093025465798409e-01 5.752680974967600003e-01
8.000000000000000444e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.495988272864369639e-01 5.703282783139537182e-01
8.000000000000000444e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.542953154693728512e-01 5.874846902942357785e-01
8.000000000000000444e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.557087671081267999e-01 5.863446827833882491e-01
8.000000000000000444e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.478141559637695002e-01 5.725642721169288407e-01
8.000000000000000444e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.529891758416914049e-01 5.933576895327868916e-01
8.000000000000000444e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.559085481034970133e-01 5.927947714123539269e-01
5.999999999999999778e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.544123399677966191e-01 5.658192293445578613e-01
5.999999999999999778e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.560327467316799277e-01 5.791642566029643335e-01
5.999999999999999778e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.550578331645791508e-01 5.794949029986625755e-01
5.999999999999999778e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.534363157828208424e-01 5.705936372680500135e-01
5.999999999999999778e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.563710391440094494e-01 5.844037056317910039e-01
5.999999999999999778e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.561552502027002021e-01 5.917453657047290205e-01
5.999999999999999778e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.521244156011918758e-01 5.737155834204634708e-01
5.999999999999999778e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.558188205164754869e-01 5.909914656954068368e-01
