rs                       \eta                     K                        f_r                      f_p                      AUC                      AUPR                                                                                                                                               
5.999999999999999778e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.519196793895827735e-01 5.749009584460884614e-01
5.999999999999999778e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.546728358024842986e-01 5.843459569681430654e-01
5.999999999999999778e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.551127607632829974e-01 5.846127237927485343e-01
5.999999999999999778e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.503685252000491079e-01 5.746878648749754737e-01
5.999999999999999778e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.543653523471149480e-01 5.933612622171472450e-01
5.999999999999999778e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.555835903666261011e-01 5.946300326774541789e-01
6.999999999999999556e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.521710361299691172e-01 5.714335623031638889e-01
6.999999999999999556e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.546747518378684294e-01 5.796000334633921725e-01
6.999999999999999556e-01 5.000000000000000000e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.543084378649031585e-01 5.743388872736251427e-01
6.999999999999999556e-01 5.999999999999999778e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.505770988452396653e-01 5.729500195246939320e-01
6.999999999999999556e-01 5.999999999999999778e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.544064495057992259e-01 5.844595801082107522e-01
6.999999999999999556e-01 5.999999999999999778e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.553745803381834545e-01 5.854264886866908935e-01
6.999999999999999556e-01 6.999999999999999556e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.492919704527985614e-01 5.731683033229122426e-01
6.999999999999999556e-01 6.999999999999999556e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.538443473552509211e-01 5.956136065809551905e-01
6.999999999999999556e-01 6.999999999999999556e-01 1.000000000000000000e+01 3.000000000000000000e+02 7.000000000000000000e+02 9.557570879253030061e-01 5.940342869339920728e-01
8.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.509574359900012652e-01 5.677093767930512236e-01
8.000000000000000444e-01 5.000000000000000000e-01 5.000000000000000000e+00 3.000000000000000000e+02 7.000000000000000000e+02 9.547851737879863299e-01 5.801111680873991538e-01
